family,model,ok,params_b,provider,response_preview,source,spec
claude,claude-sonnet-4-20250514,True,,anthropic,OK,preflight_probe,claude-sonnet-4
claude,claude-sonnet-4-6,True,,anthropic,OK.,preflight_probe,claude-sonnet-4-6
claude,claude-sonnet-4-5-20250929,True,,anthropic,OK,preflight_probe,claude-sonnet-4-5
claude,claude-haiku-4-5-20251001,True,,anthropic,OK,preflight_probe,claude-haiku-4-5
claude,claude-opus-4-6,True,,anthropic,OK,preflight_probe,claude-opus-4-6
gemini,gemini-2.5-pro,True,,google,OK,preflight_probe,gemini-2.5-pro
gpt,gpt-4o,True,,openai,OK,preflight_probe,gpt-4o
gpt,gpt-4o-mini,True,,openai,OK.,preflight_probe,gpt-4o-mini
gpt,gpt-4-turbo,True,,openai,OK,preflight_probe,gpt-4-turbo
mistral,mistral-small-latest,True,22.0,mistral,OK,preflight_probe,mistral-small
mistral,mistral-large-latest,True,123.0,mistral,OK.,preflight_probe,mistral-large
